suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-rect,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,JuMP,62116,109978,399325,467070,7.98e-7,0.013817735,0.00073048,0.037129414,0.037133011,2.061992483
OPF-rect,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,JuMP,78748,135476,504239,580410,2.206e-6,0.019254494,0.000979623,0.050233048,0.04661813,3.992584255
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,149308,568661,651944,1.779e-6,0.023203286,0.001039899,0.061716499,0.052628836,3.42276274
OPF-rect,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,JuMP,83572,149770,548619,643433,5.87e-7,0.022779223,0.000816638,0.053767367,0.050630706,4.347644812
OPF-rect,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,JuMP,76804,132352,467229,542865,2.54e-6,0.027582903,0.000946767,0.047284132,0.045367965,3.016818508
OPF-rect,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,JuMP,89850,159834,586541,687875,2.329e-6,0.023544297,0.000983264,0.05452318,0.055251364,3.940406534
OPF-rect,pglib_opf_case10480_goc.m,pglib_opf_case10480_goc.m,JuMP,96750,171834,637859,747934,1.586e-6,0.030318991,0.001052691,0.068718294,0.061174282,4.756145233
OPF-rect,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,197906,738289,835838,4.757e-6,0.032660617,0.00161856,0.074039157,0.066968148,5.354751251
OPF-rect,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,JuMP,179562,320537,1194981,1401511,1.746e-6,0.06231636,0.001936327,0.132388327,0.116585006,8.67716275
OPF-rect,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,316434,1155259,1352801,6.581e-6,0.060068207,0.002149814,0.128575943,0.124539548,7.821746727
OPF-rect,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,JuMP,203374,362569,1349817,1573878,2.782e-6,0.080557456,0.002388449,0.172394697,0.137433873,9.782966964
OPF-rect,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,JuMP,208624,367752,1261905,1467582,2.273e-6,0.076164123,0.00245877,0.150020668,0.129637682,9.96552126
OPF-rect,pglib_opf_case78484_epigrids.m,pglib_opf_case78484_epigrids.m,JuMP,674562,1196018,4359963,5102458,7.409e-6,0.250332094,0.009330309,0.530241192,0.491253671,32.232699268
